,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
Acquired Immunodeficiency Syndrome,-0.57800245,0.8529897,0.19679296,-0.58259034,0.19736266,-0.2630778,0.784989,-0.29237345,-0.86777174,-0.25264424,-0.6386199,0.8638112,-0.983602,-0.78937185,0.09132561,0.47714865,-0.23263666,0.111215115,-0.05991803,-0.52424574,0.047878563,-0.03436452,0.3443601,0.70413345,-0.68576616,-0.38506025,0.48483002,0.37960654,0.8054433,-0.110259786,0.5781983,-0.062530756,-0.13868532,0.07707694,0.1951088,-0.2857315,0.96328485,1.2662344,-0.38060004,-0.30010283,-0.18230978,-0.11807491,0.29569197,0.6792824,0.70719767,-0.07977161,-0.29392582,0.37664753,0.3262455,0.2776822,-0.30505794,0.17730284,-0.29742023,0.105502605,0.25880432,-0.60542816,0.5839963,-0.73666584,0.25806695,-0.7858549,-0.8214487,0.47046465,0.7484218,-0.0047160685
Glioma,0.23905075,0.8465059,1.3412528,-0.41622853,-0.94716233,0.25085992,3.6538155,0.7337703,-0.5736408,-0.44089198,-1.5475609,1.3758812,0.2770619,-1.0112796,0.64806056,0.424106,0.61768687,0.6425917,-1.0919456,0.096586704,1.1342013,-0.3007965,0.32659435,2.3569117,-0.26767474,0.16088527,1.3558737,-0.4098951,0.3594906,-0.7327667,0.85053784,0.3509562,-0.30010912,-0.16920137,-0.35649732,-0.007022798,-0.72853434,2.0401607,0.10036507,-1.4863386,-1.3965349,0.059653405,1.6447468,0.97498965,-1.0578818,-0.05661297,-1.5913815,-0.5821819,0.38914442,-0.78579974,-0.9642957,-1.3932567,0.50994086,-1.7211328,0.47907466,-0.08477622,-0.0074406266,0.83693594,-0.76426804,-0.81010735,-0.24776256,2.1584792,-1.799962,2.3086257
"Carcinoma, Non-Small-Cell Lung",0.25802708,1.0677334,1.4735459,-0.4675852,-1.2418085,0.25036442,3.6619306,0.7278298,-0.601843,-0.71572125,-1.6198381,1.4240608,0.097952396,-1.1677926,0.8492974,0.55297637,0.5035843,0.790465,-1.0128896,0.041098595,0.9698317,-0.4824934,0.43648076,2.3676214,-0.026806235,0.09945083,1.3463087,-0.40456367,0.3836462,-0.49119455,0.8342786,0.39101923,-0.2815497,-0.1171968,-0.35242626,0.11216617,-0.64347994,2.175705,-0.03529674,-1.5407995,-1.3495173,0.17235379,1.410313,0.9911277,-0.9622256,-0.11130667,-1.5858097,-0.44348472,0.49872667,-0.5554371,-1.132613,-1.3445199,0.49676907,-1.5372235,0.68304235,-0.2313,0.21889669,0.8762215,-0.78209853,-0.9524568,-0.25525534,2.327332,-1.7459209,2.2065609
Urinary Bladder Neoplasms,0.28124452,1.3746445,1.3365943,-0.6052586,-1.1330034,0.12181997,3.4844873,0.84119403,-0.7859136,-0.6323437,-1.4665241,1.5396241,-0.035093516,-0.8511651,0.37010252,0.23291993,0.6019582,0.78718233,-1.0651925,0.3622098,1.1198117,-0.34856164,0.38381004,2.2967987,-0.24356425,0.3056761,1.4881418,-0.5866816,0.4475886,-0.6407754,0.84926736,0.37865233,-0.53385,-0.28578866,-0.31353065,-0.18584481,-0.7645531,2.541882,-0.31916,-1.4906397,-1.0346857,0.083739385,1.3755248,0.99329567,-0.8540666,0.08093405,-1.6354783,-0.4414742,0.54529774,-0.34416127,-1.1966249,-1.3913276,0.49172157,-1.5663897,0.49886447,-0.4470632,0.15020788,1.2000567,-0.9355376,-0.49180415,-0.24032736,2.2577896,-1.6628652,2.161887
Lymphoma,0.28124452,1.3746445,1.3365943,-0.6052586,-1.1330034,0.12181997,3.4844873,0.84119403,-0.7859136,-0.6323437,-1.4665241,1.5396241,-0.035093516,-0.8511651,0.37010252,0.23291993,0.6019582,0.78718233,-1.0651925,0.3622098,1.1198117,-0.34856164,0.38381004,2.2967987,-0.24356425,0.3056761,1.4881418,-0.5866816,0.4475886,-0.6407754,0.84926736,0.37865233,-0.53385,-0.28578866,-0.31353065,-0.18584481,-0.7645531,2.541882,-0.31916,-1.4906397,-1.0346857,0.083739385,1.3755248,0.99329567,-0.8540666,0.08093405,-1.6354783,-0.4414742,0.54529774,-0.34416127,-1.1966249,-1.3913276,0.49172157,-1.5663897,0.49886447,-0.4470632,0.15020788,1.2000567,-0.9355376,-0.49180415,-0.24032736,2.2577896,-1.6628652,2.161887
Stomach Neoplasms,0.39078474,1.3026873,1.2515929,-0.43646157,-0.97278666,0.2612816,3.527473,0.9407106,-1.0012232,-0.39337325,-1.3850889,1.2091801,-0.14606112,-1.175669,0.21386671,0.21476734,0.3340848,0.61423004,-1.0712826,0.05653429,1.006611,-0.4850061,-0.0010004044,2.5772514,-0.16639465,0.17936647,1.3232111,-0.653726,0.3254364,-1.0152876,0.89827836,0.7585302,-0.37357754,-0.3523593,-0.27295712,-0.13697278,-0.8097538,2.5485926,-0.4665385,-1.4729546,-1.0657747,0.3088872,1.5662014,0.8243408,-1.1875293,-0.2950704,-1.7086844,-0.3421055,0.4488706,-0.72568333,-1.231605,-1.5283868,0.6537986,-1.5517997,0.60708636,-0.48823464,0.35154003,1.0269034,-0.94832903,-0.5442537,-0.30518425,2.0890937,-1.5842221,1.9718665
Thyroid Neoplasms,0.2200042,1.2670361,1.2903712,-0.5722891,-0.963232,0.25462887,3.543703,0.8444416,-0.8045465,-0.47390068,-1.4233444,1.4690626,-0.059284657,-0.93407387,0.4950843,0.18871415,0.55666083,0.7880777,-0.9562983,0.19579744,1.093457,-0.5111797,0.2601775,2.4889355,-0.14164233,0.26303232,1.3923013,-0.4908432,0.321576,-0.8650826,0.77490723,0.41896892,-0.40649036,-0.28362423,-0.31292537,-0.07522103,-0.7603244,2.3897686,-0.3452767,-1.5031161,-1.0329232,0.07217334,1.3963573,1.1322937,-1.0287323,-0.10643101,-1.5542414,-0.5604445,0.4140473,-0.4156257,-1.223878,-1.4748851,0.43063772,-1.5247293,0.6222702,-0.39636996,0.12197137,1.0779524,-0.7877539,-0.6611656,-0.2009188,2.039774,-1.7190409,2.2756257
Uterine Cervical Neoplasms,0.25802708,1.0677334,1.4735459,-0.4675852,-1.2418085,0.25036442,3.6619306,0.7278298,-0.601843,-0.71572125,-1.6198381,1.4240608,0.097952396,-1.1677926,0.8492974,0.55297637,0.5035843,0.790465,-1.0128896,0.041098595,0.9698317,-0.4824934,0.43648076,2.3676214,-0.026806235,0.09945083,1.3463087,-0.40456367,0.3836462,-0.49119455,0.8342786,0.39101923,-0.2815497,-0.1171968,-0.35242626,0.11216617,-0.64347994,2.175705,-0.03529674,-1.5407995,-1.3495173,0.17235379,1.410313,0.9911277,-0.9622256,-0.11130667,-1.5858097,-0.44348472,0.49872667,-0.5554371,-1.132613,-1.3445199,0.49676907,-1.5372235,0.68304235,-0.2313,0.21889669,0.8762215,-0.78209853,-0.9524568,-0.25525534,2.327332,-1.7459209,2.2065609
"Cardiomyopathy, Dilated",0.18460324,-0.23732604,-0.2349999,-0.14514941,0.3222814,-0.24992034,-0.22332263,0.21449463,0.0670086,-0.117052905,0.1493128,0.2582826,0.29764733,0.26882908,-0.055762284,-0.17060731,0.11903784,0.3010848,-0.28106415,0.19354251,0.25153813,0.20375854,-0.3556877,0.12363062,-0.2160136,0.04417916,0.17738849,-0.31652504,0.26012152,-0.11508735,-0.18036428,0.08957403,0.18819925,0.21736339,0.18010487,0.3659405,-0.22982183,-0.34771606,-0.17125909,-0.15078984,0.16208628,0.10909301,0.35257018,0.17716713,-0.2672884,0.08395957,0.19856998,-0.28936914,-0.25731534,-0.1890854,-0.27959478,-0.2894499,0.1979326,0.23215006,0.23721735,0.24728347,-0.24387306,0.113290474,-0.21102688,0.14146313,0.19039026,-0.17896739,-0.11516658,0.15567124
Alzheimer Disease,-0.013962984,0.9527856,1.3933504,0.039412856,-0.9504713,0.27950317,2.958199,0.22520873,-0.59151846,-1.1552926,-0.9464499,2.2293036,-0.18515998,-0.32219827,0.4795273,0.3081535,-0.8676444,0.35777688,-1.5391955,0.6952927,0.64589345,-0.0809201,0.7162812,1.2392099,-0.91232646,-1.3216972,1.0587074,-0.36687094,1.6443512,-0.3842411,-0.4902754,0.37859058,-0.4436668,0.16381204,0.3149389,0.553325,0.053914607,1.2435004,-0.16463,-0.9056839,-0.91098857,-0.10921782,1.0946707,0.80805147,-0.37102157,0.6076074,-1.3460252,0.5468397,-0.041931868,-0.5270456,-0.52336484,-0.48424077,0.43657213,-0.8752669,1.5239303,-0.26016605,-0.020401001,0.5238708,-1.4345877,-0.91145587,-0.18209589,1.0501971,-1.2536192,1.5623776
